--> 0	0.1	-2.443433867495049e-005
--> 0	0.2	-9.991102656329792e-005
--> 0	0.3	-0.0002298490820279322
--> 0	0.4	-0.0004156545306182452
--> 1	0.1	-0.0002353347373133653
--> 1	0.2	-0.0009715823708895638
--> 1	0.3	-0.002242691522052549
--> 1	0.4	-0.004061377695142327
--> 2	0.1	-0.0006524691120075002
--> 2	0.2	-0.002696417820383247
--> 2	0.3	-0.006224465521198024
--> 2	0.4	-0.0112723323038733
--> 3	0.1	-0.0009396567057741466
--> 3	0.2	-0.003876611305637401
--> 3	0.3	-0.008939023866512883
--> 3	0.4	-0.01617945031283058
--> 4	0.1	-0.001125996523480574
--> 4	0.2	-0.004635068318557625
--> 4	0.3	-0.01067321187078321
--> 4	0.4	-0.01930511413469357
--> 5	0.1	-0.001237897850850771
--> 5	0.2	-0.005084389430901452
--> 5	0.3	-0.01169077487743462
--> 5	0.4	-0.02112972674329291
--> 6	0.1	-0.001332277707060973
--> 6	0.2	-0.005460152533564196
--> 6	0.3	-0.01253586347191057
--> 6	0.4	-0.02263868791296186
--> 7	0.1	-0.001387883414882922
--> 7	0.2	-0.005675440446739231
--> 7	0.3	-0.01300937763645585
--> 7	0.4	-0.02347229941023242
--> 8	0.1	-0.001450812654795909
--> 8	0.2	-0.005920086488387428
--> 8	0.3	-0.01354805854981294
--> 8	0.4	-0.0244195722119676
--> 9	0.1	-0.001501745234978161
--> 9	0.2	-0.006114814331830074
--> 9	0.3	-0.01397039651205868
--> 9	0.4	-0.02515293095486417
--> 10	0.1	-0.001521337101895699
--> 10	0.2	-0.006181386515815174
--> 10	0.3	-0.01409899856439491
--> 10	0.4	-0.02535407855769374
--> 11	0.1	-0.001517638434652387
--> 11	0.2	-0.006153512533842439
--> 11	0.3	-0.01401272167388899
--> 11	0.4	-0.0251673980401405
--> 12	0.1	-0.001481439546613022
--> 12	0.2	-0.005994690396923421
--> 12	0.3	-0.01362994549511929
--> 12	0.4	-0.02444910519189999
--> 13	0.1	-0.001453076448314686
--> 13	0.2	-0.005868953735401134
--> 13	0.3	-0.01332497771097604
--> 13	0.4	-0.02387309641869261
--> 14	0.1	-0.001431334984232764
--> 14	0.2	-0.005771287639347842
--> 14	0.3	-0.0130861025221022
--> 14	0.4	-0.02341887652247181
--> 15	0.1	-0.001356771027232894
--> 15	0.2	-0.005461966460102349
--> 15	0.3	-0.01236942382381008
